Feature,Train Losses,Test Losses
meaniqrchannelamp,"[88.87899416797566, 93.42045535681383, 94.74063110351562, 95.706644993908, 90.21635480196971, 83.27429775022111, 82.19232566401644, 78.0248490099637, 192.68324107044148, 86.69695569884102, 86.46612102580521]","[67.69453119348597, 91.98455118249964, 89.69898393419054, 88.7890185603389, 79.8136048493562, 76.86628581859448, 74.99930939850984, 515.1407782943161, 80.8231649045591, 81.86348032068324, 80.59527079264323]"
meanlogentropy,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
meanrms,"[183.51148511778632, 181.27479006209464, 176.94386003602227, 2943.217834616607, 201.49605805019164, 207.07296133941074, 207.1865219979916, 206.0074065586306, 180.62928440885725, 140.93422540628686, 138.1998606267965, 133.5485370564011, 131.58757623636498, 128.09433883091188, 125.96396824098983, 123.23314378846366, 120.32355427292158, 116.21561863737286, 111.26813283956275, 104.27746639611586, 97.26761864716153, 90.17492063990179, 83.79984269052181, 78.74510279241598, 74.17376780959795, 68.52926592556935, 62.79996288947339, 57.90516018417647, 54.55324622820009, 50.98619324306272, 48.360693589696346, 46.47593383069308, 44.41107926278744, 47.12383846067033, 43.74757054166974, 45.742034912109375, 43.7766403342193, 41.30646730818838, 37.520761525855875, 37.022374854897556, 34.4784952199684, 32.11081634377533, 30.84353524334026, 29.584191448283644, 28.4521949696091, 27.409899729602742, 26.068590488073962, 25.01135225116082, 24.284257277002876, 23.655526431101674, 25.501094512219698, 23.861910730038048, 22.199901292908866, 21.574593544006348, 20.55200821498655, 19.69568493681134, 19.42808318587969, 19.403042163489, 27.129569971336508, 22.938195426509065, 19.045350884491544, 20.58373537603414, 20.271262105905784, 23.94135252034889]","[132.5229353728118, 160.30095729121456, 131.88494760018807, 173.37706784848814, 188.24728930438008, 188.60376146104602, 188.39653862847223, 182.70380062527127, 117.33380663836444, 118.14294122766566, 113.38210692229094, 111.70346917046442, 109.99160738344546, 108.59391954210069, 106.81213294135199, 104.47657323766637, 101.07766243263528, 96.48539677372685, 91.33859902841074, 85.2952293113426, 81.76818480315032, 79.33578575981988, 78.08394481517651, 77.43425439905238, 77.1830500849971, 75.72675380000362, 76.94551877622251, 77.16227043999567, 77.09442986382379, 78.07740755434389, 75.23605120623553, 75.28594349048755, 81.69005923800998, 80.25612527352793, 77.96452614113137, 86.48128763834636, 81.51527065700955, 74.69745042588976, 77.14499862105758, 74.53932585539641, 75.43824683295355, 74.4372391877351, 74.86155050772207, 74.10512994836878, 73.43767604121456, 73.6005446822555, 73.49551504629629, 74.46717212818287, 73.84175053349247, 74.92577390317564, 75.14159845422816, 73.41629197862413, 76.21578131781683, 72.97937774658203, 73.70417474817347, 74.06120667634187, 76.80567677815755, 75.0619405110677, 80.7763180202908, 76.10751342773438, 74.87308502197266, 76.94110050907841, 87.54189074480975, 86.6030369511357]"
meanskewamp,"[1.7110491158827297, 1.0269585285546645, 0.8118627824873295, 0.7441120754997685, 0.6933749261892067, 0.6501694951417312, 0.5770666722981435, 0.48347395264877463, 0.38439921894163454, 0.3214285171256875, 0.2747240741297884, 0.24615725593746834, 0.21960060579596824, 0.19825064320609254, 0.18345081721836665, 0.16724442507860796, 0.15684091454406954, 0.15055987154537775, 0.1642259404344379, 0.14842691145977885, 0.13894826286243941, 0.13664982074274207, 0.1272396518374389, 0.1194261832619613, 0.11965521987316743, 0.11987877904244189, 0.1203897069647627, 0.11625658734789435, 0.10945869223126825, 0.10366738742252565, 0.09724118237225514, 0.09407297114156327, 0.09249092019953818, 0.08983542784205023, 0.08621487583754198, 0.09667987502970786, 0.14031704290295546, 0.10921381203071126, 0.08932950881854543, 0.08903147652745247, 0.08163229397164201, 0.07821418949455586, 0.07691587606128657, 0.07486789996893901, 0.07215029282389947, 0.07102307874076771, 0.07167168453616916, 0.06834452669575529, 0.07387744621285852, 0.11754102020893457, 0.22044135995630948, 0.20900306949075662, 0.1995597133096659, 0.12049678741198666, 0.11895181013728087, 0.1494963821375145, 0.10792583817580961, 0.10588551158050322]","[1.3105562307216503, 1.0320990173904985, 0.8972984861444544, 0.8459410203827752, 0.8171891768773397, 0.7377137652149907, 0.6415079390561139, 0.5252338769259276, 0.4360290556042283, 0.3832305736011929, 0.3700704640812344, 0.34340961111916435, 0.312629195827025, 0.29760792906637545, 0.2821368348819238, 0.2645065872757523, 0.2544239555244093, 0.2753224974429166, 0.2754239473077986, 0.24370631520394925, 0.25582854118612075, 0.24331838830753608, 0.2240825096766154, 0.22028221686681113, 0.21275214574955129, 0.2187302554095233, 0.20960917406611973, 0.21453432462833547, 0.20489491632691137, 0.19642302835429157, 0.1933760471917965, 0.18896206827075393, 0.19333629254941587, 0.1855170743332969, 0.18240105222772668, 0.2957797072551869, 0.19403420333509092, 0.18802728641916205, 0.18455642323803018, 0.180628995652552, 0.1801335397693846, 0.17737206181994192, 0.17919765716349637, 0.1759083867073059, 0.17189511711950656, 0.17840624269511965, 0.17167999816161614, 0.1701526857084698, 0.18990783614140969, 0.3746083113882277, 0.1927470095731594, 0.35868927505281234, 0.21732786187419184, 0.22863286788816806, 0.20167655139057725, 0.22717429752703067, 0.1755154717851568, 0.18564368508480214]"
nleavgstd,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
nlemean,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
overalliqramp,"[89.645668173736, 60.75621248641104, 55.88011327779518, 52.55168241824744, 49.52251722227852, 46.62388618037386, 42.74438131080483, 39.29823504753833, 35.929040872825766, 33.430937461133276, 33.08326980302919, 30.712343845727307, 27.965577179530882, 25.757595692040784, 29.517370727826965, 32.64449504636369, 24.715635983449108, 19.716955832715303, 16.842090768634147, 15.629233702173773, 14.618120949223357, 13.819963563163325, 12.986147646634084, 11.939346169525722, 11.446010319691784, 10.750285310565301, 10.338312185035562, 10.157928979621744, 11.849235435701766, 11.269834995269775, 12.365501007943783, 11.786117571704793, 10.85947670126861, 10.057445364178351, 9.411813807937333, 10.062426765010041, 11.527742493827388, 11.948737432371896, 8.938056675892955, 8.451554244419313, 7.954829368951185, 7.700617970160718, 7.439722349058907, 7.084263342731404, 6.771859303960261, 6.627986728020434, 6.424848853417163, 6.294021453497545, 6.159422892444539, 6.113031837175477, 6.153969764709473, 5.892067711308317, 5.7091293694838035, 5.724626298220652, 5.506052449064435, 5.3784902950502795, 5.3024297480313285]","[65.5947028266059, 59.29572917796947, 55.97810914781358, 51.89684196754738, 48.33406109280057, 44.56397247314453, 40.212441832930956, 36.4032263579192, 33.12947478117766, 32.03642011571814, 31.0069861235442, 31.099990986011647, 30.798437189172816, 28.973143966109664, 67.71749383431894, 32.54143637197989, 28.689747704399956, 28.57430359169289, 27.753367953830296, 26.642722447713215, 26.77424430847168, 26.469741962574147, 26.10990658512822, 26.384553909301758, 25.869955981219256, 26.112064644142432, 26.03098494918258, 26.722080301355433, 28.498519049750435, 26.048445948848016, 25.735558262577765, 26.889732007627135, 25.528738021850586, 26.00047959221734, 25.94500365080657, 25.87974449440285, 28.88004606741446, 26.117008138585973, 25.19821753325286, 24.79703246222602, 25.418717207732023, 24.435172540170175, 24.560557047526043, 24.292926647044993, 24.358869623254847, 24.220710189254195, 24.105096605088974, 24.27589762652362, 24.30102645026313, 24.37219421951859, 24.159554728755243, 24.537005883676034, 24.258183867843062, 24.51124671653465, 24.353741398564093, 24.580260735970956, 24.507367381343133]"
overallskewamp,"[3.4167763916951306, 3.2043629232442603, 2.8842466552302524, 2.598187846957513, 2.141471894282215, 1.7857674292798311, 1.7313015663398887, 1.6052404574628145, 1.4575649544877827, 1.267962266814034, 1.0791557419974849, 0.9469855686403671, 0.8747342313235661, 0.804737073070598, 0.7559049376901591, 0.7058670644490224, 0.6645154694341263, 0.6299461289396826, 0.6095775804429684, 0.567258117333898, 0.5307451031118069, 0.5047790200080512, 0.4831696478825695, 0.45667159332419344, 0.4780311781280446, 0.4495795897717746, 0.5607673402102489, 0.5122335896177111, 0.47288932496646663, 0.42326978130160636, 0.40726448567408435, 0.40604964517197517, 0.4312251963705387, 0.4030102502624944, 0.40880982718377745, 0.45517331811617007, 0.40741597762647663, 0.3799754589233758, 0.42515551706530014, 0.34975215736425147, 0.32825632815091116, 0.32313390610353004, 0.319542148765528, 0.30532895478437533, 0.2986591657939947, 0.29063236516601637, 0.2781846090307776, 0.26798270670872815, 0.26159202152828, 0.2577262160913, 0.25633352994918823, 0.24840203939743763, 0.24500019342269538, 0.23931721021544258, 0.23609610042482052, 0.2302193450477888, 0.2249680352660845, 0.22140924491972294, 0.21813537939539496, 0.21494244741943647, 0.218123511604543, 0.2527574818089323, 0.2586954306319075, 0.25614189342507776, 0.37618771364104076, 0.4202902131485489, 0.394273670776835, 0.33811133425190765, 0.26613153882746426, 0.23351048326717233, 0.21468741010944797, 0.20732022878134027, 0.1947231576690134, 0.1894271623975826, 0.18536940835556895, 0.18209172307320362, 0.17877628105991292, 0.1765333647435566, 0.17923253071757983, 0.19344603593619364, 0.19375247381768138, 0.18007078401322635, 0.1721806360303231, 0.18505773173188264, 0.16761892134288572, 0.16496333732919874, 0.16505528142992057, 0.1630098873151923, 0.1535390061589907, 0.15045385371963932, 0.14997962201541326, 0.16542451308583314, 0.18028076133638057, 0.40331766121792345]","[3.8163092931111655, 3.36601229067202, 3.402522846504494, 3.2061650576414884, 2.6086252883628562, 2.5446674823760986, 2.4327704023431846, 2.246743811501397, 1.9924591338192974, 1.6684633890787761, 1.493146507828324, 1.4127840598424275, 1.3180064625210233, 1.273939468242504, 1.2145555372591372, 1.172429045041402, 1.117359541080616, 1.0824248393376668, 1.0415263330494915, 1.0031852611788996, 0.9953298679104557, 0.9512951020841245, 0.9196956047305355, 0.9005251593059964, 0.8908690368687665, 1.095186584525638, 1.027951180934906, 1.0290098212383412, 0.9375678411236515, 0.8762634882220516, 0.8341906490149321, 0.8536823524369134, 0.9193056402383027, 0.9108250980023984, 1.088502393828498, 0.9320865604612563, 0.8592801645950034, 0.9079975088437399, 0.8073109167593496, 0.8142434601430539, 0.7959722501260263, 0.7955861533129657, 0.786952034190849, 0.7914094063970778, 0.7779854668511285, 0.7724820419594094, 0.7477825107397856, 0.7573866954556218, 0.7454011705186632, 0.7514035017402084, 0.7523676753044128, 0.7403270447695697, 0.7425754953313757, 0.7405077483918932, 0.7315892466792354, 0.7332558433214823, 0.7250085980803879, 0.7259263418338917, 0.7280160541887637, 0.7244420956682276, 0.7989051871829562, 0.7562544765295806, 0.8054625546490705, 0.8275980265052231, 0.9857952970045584, 1.0289021642119796, 0.7761495665267661, 0.7604351065776966, 0.7366782824198405, 0.7234092994972512, 0.7120086329954641, 0.7045346012821904, 0.7042784183113663, 0.6974385270365963, 0.7013751489144785, 0.6987508447081955, 0.697778997597871, 0.7049376567204794, 0.7267332386087488, 0.7015827827983432, 0.7286082263346072, 0.7068885012909218, 0.7269664031487925, 0.6937217800705521, 0.7066653746145742, 0.7203554511070251, 0.7186041650948701, 0.7056437929471334, 0.7119837557827985, 0.7123807536231147, 0.7127022632846126, 0.7520497308837043, 0.7104104845612137, 1.2571084874647636]"
pctchangepoint,"[2.5459313480993996e-05, 1.674193136527462e-05, 6.835228734142322e-06, 1.7512574969551457e-05, 1.493717213891631e-05, 5.781234848363279e-06, 1.0108607209488429e-06, 8.468214025684437e-07, 7.971144239765533e-07, 5.862426697380867e-07, 6.17417915133767e-07, 6.319329893916081e-07, 5.42653067269676e-07, 6.194523314421394e-07, 6.538596121229276e-07, 5.517923854021543e-07, 5.021109874212685e-07, 5.222944831178399e-07, 5.182000055390505e-07, 4.955966608336757e-07, 4.840100249146177e-07, 4.870966799384371e-07, 4.927968355563932e-07, 4.968922349638339e-07, 5.010169736192868e-07, 4.994316031596375e-07, 5.001051386846845e-07, 5.016189818906121e-07, 5.038102699472802e-07, 5.112523583519296e-07, 5.200671981617903e-07]","[2.422361655960601e-05, 3.858298365836769e-06, 1.4038613665400556e-05, 1.7903724289714807e-05, 9.223873011823915e-06, 1.7234352922228194e-06, 7.434652270940542e-07, 8.490272202160904e-07, 6.327485864319358e-07, 5.397417992383082e-07, 6.360879857075579e-07, 5.508165456915405e-07, 5.224460606027774e-07, 6.511234405311202e-07, 5.77892430336996e-07, 4.777815295003368e-07, 4.990562358755226e-07, 5.046377227531425e-07, 4.848162278550363e-07, 4.6759129611894387e-07, 4.6314351017692255e-07, 4.7082815828818843e-07, 4.767530709967913e-07, 4.790303604649024e-07, 4.832194962192362e-07, 4.784699643567836e-07, 4.835117640259004e-07, 4.827786323470786e-07, 4.8759246253751e-07, 4.969758467470658e-07, 5.024454931454212e-07]"
pctpeakpoint,"[0.015962481744728, 0.016292540813392063, 0.016335933416519524, 0.015887898463263828, 0.01687150184978854, 0.015754404811645455, 0.016073024603274633, 0.016140660341337043, 0.016054752212509793, 0.01568786121623696, 0.0175874836321147, 0.016295107801989565, 0.01663595346628495, 0.016689079866375564, 0.01655511993844554, 0.01625734919084693, 0.015754856169223785, 0.014901108372042764, 0.01521843432817819, 0.01536183312254132, 0.015356511053330493, 0.015285634593862408, 0.015180983422499782, 0.01347226547604462, 0.010866258539400011, 0.010968515051985686, 0.010495896908050438, 0.010008018305700904, 0.010163223186402389, 0.010403059001238842, 0.009561041580899706, 0.009277921416005998, 0.007935998012434761, 0.005429246867040418, 0.003761566380249723, 0.0026948940984131593, 0.00216033219201666, 0.0018635001516777952, 0.0015768983537542088, 0.0014179793388565194, 0.0013225246660130204, 0.0012309598200515193, 0.0011536945558135521, 0.0010997074511218464, 0.0010997015073508868, 0.0010735482627631358, 0.0009992577921915447, 0.0009946504076239916, 0.000994734734050789, 0.001066356051695656, 0.0010478325157408726, 0.0010288072165699218, 0.0010470782389056007, 0.0009561668881566598, 0.0009184746040945065, 0.0009734582437096902, 0.0009606125312066584, 0.000968072716067633, 0.0010026072960276648, 0.0008721933151015415, 0.0008474543717039644, 0.000815005127322983, 0.0007661043574049507, 0.000730676561119562, 0.0006891424319583852, 0.0006684862496770637, 0.0006906538740468194, 0.0006766261001345965, 0.0006862205358766863, 0.000671783938810651, 0.0006438508972455308, 0.0006574714613445806, 0.0006689694622215235, 0.0006271725617138282, 0.000660696996042048, 0.0006872352074286988, 0.0006750729374306382, 0.0006116658881886528, 0.000587819558172926, 0.0006187729776907221, 0.0005727817825006567, 0.0005713542253394031, 0.0005627875831329598, 0.0005808089165684749, 0.0005827300351569956, 0.0006055657813360669, 0.0005977889533892696, 0.0005608054585227708, 0.0005693280507089957, 0.0005552938596767215, 0.000625240147544317, 0.0006208151868843245, 0.0005905524946151758, 0.0005815618304658752]","[0.015300558845478075, 0.015585526892984355, 0.015335946757760312, 0.014617552325405457, 0.014718006606455203, 0.015197734348475933, 0.01533016379646681, 0.01530923801301806, 0.015102460118079628, 0.01439586971645002, 0.015249662722150484, 0.015733390563616046, 0.015867416781407816, 0.01580582907492364, 0.015580129706197314, 0.015190287734623309, 0.014543328744669756, 0.014296323509403953, 0.014565489875773588, 0.014596859614054361, 0.014551056790407057, 0.014462705218681583, 0.014258887377326135, 0.011381557659694442, 0.010625239772101244, 0.01158349729936432, 0.010095152314062472, 0.009229060158961348, 0.0116729778410108, 0.009708767860300012, 0.009160083270183316, 0.00964952237835085, 0.006656608613276923, 0.004895664251374977, 0.0030689798899132897, 0.0024559901751301906, 0.002242337933879484, 0.001962827557387451, 0.0017343330869658126, 0.0016908945765829197, 0.0015175315266889003, 0.0014333217189198843, 0.0013733341496575762, 0.0013121189032163885, 0.0013154429961340847, 0.001257602953248554, 0.0011856103859220941, 0.0012149223669742544, 0.0012522125702903227, 0.0011271006229368072, 0.001225290005095303, 0.001535185617049811, 0.0012879692992471435, 0.001141236862167716, 0.0011239397270535981, 0.0011568040763786822, 0.0013734120271961998, 0.0015189751974065547, 0.0011683023422611532, 0.0010574149222251166, 0.0010331293322249418, 0.0011022664925635414, 0.00098105542861891, 0.001019614390787427, 0.0009316111250815016, 0.0009289177746891424, 0.0008834453592835753, 0.00092892000813865, 0.0009483271256882559, 0.0009234915120975563, 0.0009295963035482499, 0.0009629313502012303, 0.0008770999632327368, 0.0009569860089363323, 0.0008945814420089677, 0.0009055639707690312, 0.0009004612608502308, 0.0008500466981247344, 0.0008618154269815595, 0.0008434804535850331, 0.0009025710190784324, 0.0007976844898183588, 0.0008018175247815196, 0.0007951710549942045, 0.0008780526523305862, 0.000862775657205256, 0.0007986519485712051, 0.0008388309463582657, 0.0008325612612275614, 0.0008180276533864715, 0.000847516956532167, 0.0008022489082240672, 0.00088278942146442, 0.0008266816407235132]"
sdrms,"[54778535414.02711, 1391.321528596698, 285.29675980334014, 288.4478500114297, 288.45232002690153, 288.5172011177495, 288.520723162957, 288.52005839797687, 288.5307398382223, 288.55271854040757, 288.6053604269927, 288.52445782355545]","[5936.5730398672595, 269.29635281032984, 277.5029675519025, 277.5618325692636, 277.5481448703342, 277.56740089699076, 277.5987379286024, 277.55334416142216, 277.55273494014034, 277.55994500054254, 277.57426678692855, 277.56540143048323]"
sdspectent,"[0.00041021287873967214, 0.0003898797703924466, 0.0004136112544966756, 0.0003825659585791587, 0.0003297978513522671, 0.00023744395826416054, 0.00018373512010032945, 0.00017647526390578177, 0.00017296724880272346, 0.00016806327423766115, 0.00016513206630303822, 0.00016320340542939825, 0.00017211366036274243, 0.00021441027254112205, 0.0002554704200142538, 0.0002540728689022011, 0.0002155446097087818, 0.0001710091263411637, 0.00016480601169740043, 0.0001809506159262591, 0.00020474497913075434]","[0.0003497664476054962, 0.00042070269032760905, 0.00039999715927815823, 0.0003581311159198069, 0.00028296611465824145, 0.00019384672945037623, 0.00018208238341483392, 0.0001769297394073672, 0.00017593586353878318, 0.00016997348521491167, 0.00016789047017314092, 0.0001694327850903695, 0.0001869258024574568, 0.0002506801937232484, 0.0002628530659152333, 0.0002409699793335878, 0.00017796644102350843, 0.00017276681642720682, 0.00017912293292788995, 0.00020039874706762257, 0.00021472513132418195]"
sdspectkurt,"[0.032488586416222015, 0.0333693746547654, 0.03334690454714703, 0.032715288043584465, 0.02956844093102329, 0.02579111043574675, 0.024665592783042846, 0.026393386517774384, 0.02394155057955463, 0.024179797584436974, 0.023045267839476746, 0.022097610569787474, 0.018052836634078116, 0.015887298832102766, 0.01419936948157144, 0.012797935637381842, 0.010400211087094163, 0.009842105244971672, 0.008421855293354898, 0.007348016176794497, 0.0069249062886777915, 0.006387876206130351, 0.005946081896084097, 0.005593204800531549, 0.005357881577439465, 0.004955432992779983, 0.004618758353281696, 0.004365396870405607, 0.0041084531958232515, 0.003991023206837334, 0.0038634910476657578, 0.003933103834191021, 0.0036996769683681568, 0.003747286099307942, 0.003940148454792095, 0.004574912029125218, 0.003933696621009764, 0.0036318230504205204, 0.003422487430485352, 0.003267111401688659, 0.0031709910528558605, 0.0031428171435968493, 0.003129675123348551, 0.0030681508470256375, 0.003162710914247722, 0.0031270583661027113, 0.003079498647975753, 0.0029675166983649417, 0.0030417378139594256, 0.003036361622606527, 0.0028620523418176847, 0.0030863530635130854, 0.0031770752382658, 0.003506995179637704, 0.003370206429675784, 0.0031889956180920016, 0.003263835426209108, 0.002951208752456982, 0.0028313575444286164, 0.002706444189655331, 0.0027622412406962437, 0.0027627756353467703, 0.0026409601559862494, 0.0026091623629601497, 0.0025471218747420694, 0.002531703491255922, 0.0025928960849513423, 0.0026471063116881646, 0.0026843570137642463, 0.002528723311733525, 0.00243601673019101, 0.0024193066374381196, 0.0023656526782532346, 0.0023573798320765766, 0.002305740099576003, 0.002283625941688441, 0.0022273733267420023, 0.0022003719504079164, 0.0021768799908283465, 0.0021626755050471367, 0.002148238937634061, 0.0021308335203255686, 0.0021883524110857047, 0.002191136749285572, 0.002329071500461619, 0.0025679938372154282, 0.0023814079632877177, 0.0025571403906346772]","[0.03192426078021526, 0.032180637328161135, 0.03183640374077691, 0.030384327664419456, 0.02492093329352361, 0.02428359510721984, 0.0277441480645427, 0.022496915870794543, 0.022461646753880713, 0.023424164288573794, 0.025165245764785342, 0.020566931201352015, 0.016235864721238613, 0.015939086227229348, 0.01388200089611389, 0.011797475525074534, 0.010794400668668526, 0.010310756025352964, 0.008266185496554331, 0.008078951405844203, 0.007850809574679093, 0.0074775224827505924, 0.006729038190786485, 0.006705200730788487, 0.006228996664975528, 0.005838402081280947, 0.005897165888368532, 0.0055004579394503875, 0.005317068701885917, 0.005150382536359959, 0.005113701206735439, 0.005423345965229803, 0.0050223770344422925, 0.00546566709117205, 0.005465050650484584, 0.005234995848257784, 0.005235276986948318, 0.004890053239823492, 0.004844773207204761, 0.004803050844067776, 0.004819621840767839, 0.00472870404418144, 0.0046961749817624136, 0.005058104094738762, 0.004823022151227902, 0.0048003277603398875, 0.004628503815857349, 0.00470800186438417, 0.005000279216026819, 0.004698647065433087, 0.0045967150169114275, 0.004770612318275703, 0.005327679958470442, 0.005616227552915613, 0.004823760526185787, 0.004863521549850702, 0.00497504625538433, 0.004816969727269477, 0.004528770999362071, 0.004545666156681599, 0.004583019288946633, 0.004703912608049534, 0.0047790196948443294, 0.004597017334567176, 0.004394558327341521, 0.004576919453770474, 0.0044910582213628075, 0.005176109304927566, 0.004446606901991699, 0.004385646993156384, 0.0044809511983422215, 0.004473873026048143, 0.00444135844224581, 0.004458244570910379, 0.004370424517050937, 0.0044506597763824245, 0.004280959730278011, 0.004230437420860485, 0.004389328045632552, 0.004278770725553234, 0.004454129599724655, 0.004335526247612304, 0.004531641447640679, 0.004487278914355018, 0.005346100510063546, 0.004621657913688708, 0.0047806948250918475, 0.005530945154734784]"
shanavg,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]"
stdskewamp,"[0.11476164044074293, 0.09095534808793158, 0.09176628839857173, 0.09197493572280092, 0.09189841418333773, 0.09131130969749307, 0.08686171837572781, 0.07276165429151284, 0.04932507563312099, 0.04363360361389394, 0.03927449368924465, 0.03507258595441872, 0.030355617087685836, 0.025228561236048646, 0.02143123819721195, 0.019520779439019708, 0.018095532924217998, 0.017236046457909188, 0.01614164891389181, 0.015773189746124565, 0.015445679496481733, 0.014643632631116319, 0.013745139669275508, 0.012937218688850134, 0.012908062985483205, 0.012515978044215238, 0.012573781036683973, 0.014748681477218304, 0.015487600346359442, 0.015217862460973128, 0.013009224789884855, 0.011368517851773298, 0.010282640327822487, 0.009699155471094375, 0.0092593927358119, 0.008990513020247783, 0.008787453965336646, 0.00858779103969628, 0.008640301800420825, 0.008575537654940249, 0.008258157515160318, 0.008049088890470986, 0.00787267684585081, 0.007866741614943405, 0.0077929894334443335, 0.007864481699213667, 0.008029343613054393, 0.007861992010389859, 0.008293160457023472, 0.008241168258465686, 0.009064391940691561, 0.009314993255824413, 0.008995862616190934, 0.007370029901207055, 0.00703729071461086, 0.00673990375977361, 0.007332187163520534, 0.0073106772494765946, 0.0070983781303577825, 0.0064603273475648095, 0.006328014112165514, 0.006151042702906537, 0.005943942674488391, 0.005989380479561833, 0.00598055358870693, 0.005985505966785943, 0.005900119536749597, 0.0058575145777244614, 0.005857146678949302, 0.0058082448019874545, 0.00564360203889181, 0.005533005585366825, 0.005490725824855409, 0.005497753576217395, 0.005761535996395462, 0.005750891172660972, 0.005927455646671214, 0.00583077382893776, 0.005422223267092739, 0.005257583768019137, 0.005122822946605255, 0.005051130367407821, 0.005293069741214221, 0.005077517064253114, 0.005123533194287206, 0.004934176969570371, 0.004860068394644362, 0.004836548717235619, 0.004949491848852837, 0.00498312107234631, 0.005001406132612588, 0.004927991827914737, 0.004775432035116092, 0.005827803147148411, 0.005684393185700448, 0.005356338112351467, 0.005132021268232251]","[0.08767970789361883, 0.0889563196235233, 0.08930939518743092, 0.089339646200339, 0.08905613008472654, 0.0878715255746135, 0.08047571792094796, 0.06187850126513728, 0.05086866793809114, 0.04322431884981968, 0.04117537400236836, 0.03628616338526761, 0.029060745266852556, 0.024423176422715187, 0.02250152067453773, 0.02160977185876281, 0.020681185302910982, 0.01996660446403203, 0.01972711724401624, 0.018729691842087993, 0.020065236733191542, 0.018289159914409672, 0.017716701314957055, 0.016990532788137596, 0.017113633074418263, 0.017275526498754818, 0.01589246811690154, 0.015632404048961622, 0.022595889590404653, 0.020049868220532382, 0.014995054238372378, 0.014737119691239463, 0.013985983889411998, 0.013796562742855813, 0.013686255620861495, 0.013642166051323767, 0.01325641055074003, 0.013239097126104214, 0.0129702546875234, 0.01361107119117622, 0.012619000618104581, 0.012707011808675749, 0.012736638231823841, 0.01233901957877808, 0.012925851848666315, 0.01204955955553386, 0.012770394122021066, 0.013399250218989673, 0.012296636071470048, 0.015383361597303991, 0.01212387118074629, 0.011955567100947653, 0.01203025982680696, 0.011696918315633579, 0.011572340279127713, 0.011400009781398155, 0.012765317775860981, 0.012738955879790915, 0.01156473711684898, 0.011251066742395913, 0.010792742017656565, 0.010969357202864356, 0.010788843794553369, 0.010814289389937013, 0.01098132452548102, 0.010798129632517143, 0.010643399044595383, 0.011014832131978538, 0.01064857828465325, 0.010915054767220109, 0.010563138234256595, 0.01048453374662333, 0.010738613428892914, 0.01038733945676574, 0.010563064280345483, 0.010723058548238542, 0.010516548770721312, 0.010476581631573263, 0.010620182811248081, 0.010128255968016607, 0.010073197815843203, 0.010959730983746273, 0.010264631860923988, 0.010276158047081143, 0.010294033197203168, 0.01001959304428763, 0.010017213118435056, 0.010340868271197434, 0.010258778360568814, 0.010168435276244525, 0.01003916973800019, 0.010182640894695564, 0.010094063804933318, 0.010159986886989188, 0.010246825783892913, 0.010247023396745877, 0.01015915312907762]"
thetaalphamean,"[10.037465077526164, 214.70560789108276, 11.34815126095178, 11.355306571384645, 11.358502082104954, 11.359216941977447, 11.359359399327692, 11.35831023162266, 11.357324384293467, 11.355459627115502, 11.353297917348034]","[10.00438725506818, 12.816181006254974, 12.829051053082502, 12.833170961450648, 12.835317117196542, 12.83511589191578, 12.834805135373715, 12.834002636097095, 12.831806783322934, 12.829504860772026, 12.827784997445566]"
